name,location,cuisine,top_dishes,price_for_2,dining_rating,dining_rating_count,delivery_rating,delivery_rating_count,features,price_category,cuisine_list,has_dine_in,has_delivery
Hotel Metro Sagar,Saidapet,"['South Indian', ' North Indian', ' Chinese']","['Noodle', ' Biryani', ' Butter Chicken', ' Dragon Chicken', ' Fried Rice Chicken']",600,3.3,126,4.0,1636,"['Home Delivery', 'Indoor Seating']",Affordable,"['South Indian', ' North Indian', ' Chinese']",1,1
The Samosa Factory,Anna Nagar East,"['Street Food', ' Fast Food']",Invalid,150,0.0,0,4.1,353,"['Home Delivery', 'Vegetarian Only']",Budget,"['Street Food', ' Fast Food']",0,1
Friends Cake Castle,Kilpauk,['Bakery'],Invalid,500,3.7,66,3.9,518,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",Affordable,['Bakery'],1,1
Spicy Kitchen,Velachery,"['North Indian', ' Chinese']",Invalid,400,0.0,0,3.5,3639,['Home Delivery'],Affordable,"['North Indian', ' Chinese']",0,1
Auro Pizza,East Coast Road (Ecr),"['Pizza', ' Fast Food']","['Wood Fire Pizza', ' Fries', ' Iced Tea', ' Thin Crust Pizza', ' Garlic Bread', ' Tex Mex Nacho']",600,3.3,76,4.0,142,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Wifi', 'Sports TV', 'Table reservation required']",Affordable,"['Pizza', ' Fast Food']",1,1
Hotel Sudha,Egmore,"['South Indian', ' Chinese', ' North Indian']","['Masala Dosa', ' Vada', ' Idli']",450,2.5,102,4.2,418,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",Affordable,"['South Indian', ' Chinese', ' North Indian']",1,1
The Royal'z Biriyani & Kabab's,Thousand Lights,"['Biryani', ' Arabian']",Invalid,300,3.4,135,3.6,4473,"['Home Delivery', 'Indoor Seating']",Budget,"['Biryani', ' Arabian']",1,1
Nimi's Oven,Ashok Nagar,"['Bakery', ' Fast Food', ' Desserts']","['Cream Cake', ' Truffle', ' Veg Puff']",450,3.9,100,4.2,146,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",Affordable,"['Bakery', ' Fast Food', ' Desserts']",1,1
Afrah's kebab kitchen,Vadapalani,"['Arabian', ' Chettinad']",Invalid,200,3.7,111,3.8,945,"['Home Delivery', 'Table Reservation Not Required', 'Indoor Seating']",Budget,"['Arabian', ' Chettinad']",1,1
Daniel's Kitchen,Ramapuram,"['North Indian', ' Chinese']",Invalid,200,3.7,124,3.7,1624,"['Home Delivery', 'Indoor Seating']",Budget,"['North Indian', ' Chinese']",1,1
Madurai Rajammal Mess,Neelangarai,['South Indian'],"['Mutton Chukka', ' Fish Fry', ' Paratha', ' Mutton Biryani', ' Pallipalayam Chicken', ' Nattukozhi Biryani']",450,3.9,93,3.4,444,"['Home Delivery', 'Indoor Seating']",Affordable,['South Indian'],1,1
